method,n_clusters,full_feature_silhouette,task_axis_silhouette,davies_bouldin,calinski_harabasz,length_separation,min_cluster_share,stability_ari_mean,stability_ari_std
Length-only baseline,4,0.042012886993599854,0.18837719284967636,3.8852450815934474,744.1978997912055,0.8503517642215085,0.1481111903064861,,
Flat k-means baseline,6,0.09333930956965082,0.05533483581308325,2.7124371810703196,894.4853135711596,0.34849724822164807,0.0714183891660727,,
Final LCSC method,6,0.030420480974938692,0.23163041841112023,3.7591117328315335,576.7231188164288,0.8504668295660086,0.06942266571632216,0.9893318736854646,0.010125652667300132
